DATE(YYYYMMDD),TIME,OPEN, HIGH,LOW,CLOSE,CHANGE
20070102,1015,3977.5,3983,3970.1,3973.4,0
20070102,1030,3973.45,3979.5,3970.3,3979.4,0.15
20070102,1045,3979.05,3984,3976.05,3983,0.09
20070102,1100,3983,3983.6,3979,3983.4,0.01
20070102,1115,3983.2,3986,3982.5,3985,0.04
20070102,1130,3985,3985.5,3978.2,3981.8,-0.08
20070102,1145,3981.8,3990,3981.7,3989,0.18
20070102,1200,3989.15,3992.95,3989,3992.5,0.09
20070102,1215,3992.5,3997.9,3991.35,3994.15,0.04
20070102,1230,3994.25,4002,3992,4002,0.2
20070102,1245,4002,4005.95,4000.5,4005.65,0.09
20070102,1300,4005.65,4011.65,4005,4010.5,0.12
20070102,1315,4010.2,4010.5,4002.8,4007,-0.09
20070102,1330,4007,4014,4005.25,4012,0.12
20070102,1345,4011.6,4015,4011.15,4013.45,0.04
20070102,1400,4013,4017,4009,4015.5,0.05
20070102,1415,4015.35,4018.5,4014,4015.85,0.01
20070102,1430,4015.15,4018,4013.3,4015.15,-0.02
20070102,1445,4015.3,4016.8,4006.6,4007.5,-0.19
20070102,1500,4007.2,4013.75,4007.1,4010.9,0.08
20070102,1515,4010.1,4019.9,4007,4019,0.2
20070102,1530,4019,4019.75,4003,4009,-0.25
20070103,1015,4013.5,4021.9,4010.05,4020,0.27
20070103,1030,4020,4020.8,4014.1,4019.5,-0.01
20070103,1045,4018.95,4020.5,4010.1,4013,-0.16
20070103,1100,4012.05,4012.5,4005,4011,-0.05
20070103,1115,4010.9,4011,3986.1,3988,-0.57
20070103,1130,3987.5,3989.4,3978.2,3985,-0.08
20070103,1145,3985.15,3998,3983.25,3996.7,0.29
20070103,1200,3996.95,4000,3989.95,3991,-0.14
20070103,1215,3991,4007.8,3991,4005.5,0.36
20070103,1230,4005.2,4008.35,4003,4004.05,-0.04
20070103,1245,4004.2,4009,4001.35,4001.5,-0.06
20070103,1300,4002.1,4014.2,4001.4,4012,0.26
20070103,1315,4011.3,4015.5,4011.05,4013.5,0.04
20070103,1330,4013.5,4013.5,4006,4008,-0.14
20070103,1345,4008,4016,4007.8,4014.5,0.16
20070103,1400,4014.9,4026.8,4014,4026,0.29
20070103,1415,4025.05,4028.9,4021,4023.05,-0.07
20070103,1430,4022.2,4028,4020.15,4026,0.07
20070103,1445,4025.6,4028.4,4022.3,4028,0.05
20070103,1500,4028.35,4028.65,4021,4024.4,-0.09
20070103,1515,4024.15,4025.2,4017.2,4018.55,-0.15
20070103,1530,4018.3,4023.6,4017.2,4023,0.11
20070104,1015,4011,4024.25,4008.55,4020,-0.07
20070104,1030,4019.25,4020,4002.2,4007.2,-0.32
20070104,1045,4007.15,4014,4007.15,4010,0.07
20070104,1100,4009.25,4011,3991,3994.8,-0.38
20070104,1115,3994.2,4014,3993.8,4012,0.43
20070104,1130,4011,4014.7,4007,4012.5,0.01
20070104,1145,4012.5,4014.4,4005,4006,-0.16
20070104,1200,4005.5,4012,4005.2,4011,0.12
20070104,1215,4011,4012,4004.5,4005,-0.15
20070104,1230,4004.3,4005.95,4001.1,4002,-0.07
20070104,1245,4002,4002,3994,3999,-0.07
20070104,1300,3999.75,4001.6,3983.05,3986.85,-0.3
20070104,1315,3986.1,3988.7,3973.25,3983,-0.1
20070104,1330,3983.8,3988.8,3979.1,3979.5,-0.09
20070104,1345,3979.1,3990,3976.35,3989.8,0.26
20070104,1400,3989.8,3992.45,3983.2,3991,0.03
20070104,1415,3990.9,3997.5,3989.35,3995.05,0.1
20070104,1430,3994.5,4004.9,3994.5,3999,0.1
20070104,1445,3999.5,4008.65,3997.15,3999.1,0
20070104,1500,3999.05,4000.7,3986.6,3994,-0.13
20070104,1515,3994.5,3997.4,3987.25,3991.75,-0.06
20070104,1530,3989.15,3993.5,3978.35,3982,-0.24
20070105,1015,3973.1,3982.75,3966.5,3981.7,-0.01
20070105,1030,3981.75,3990,3980,3987,0.13
20070105,1045,3987.25,3989.65,3980.15,3989,0.05
20070105,1100,3988.5,3989,3977,3983.6,-0.14
20070105,1115,3984.85,3993.9,3982,3992.5,0.22
20070105,1130,3992.05,3992.95,3985.25,3991,-0.04
20070105,1145,3990.05,4006.8,3990,4004,0.33
20070105,1200,4003.95,4007.85,3997.15,4005,0.02
20070105,1215,4004.55,4006.4,3998.35,3998.5,-0.16
